assay_ID,block,date,plate_ID,External_Treatment,genotype,Selective_marker,stock,coculture_strain,coculture_ID,genotype2,Media,LB_perc,GlcMedia,Mut_to_WT_ratio,glucose,N0_ul,N0_CFU_nx,N0,N0_coculture,N0_gen_to_co_ratio,Nt1_CFU_nx,Nt2_CFU_nx,Nt3_CFU_nx,Nt1_CFU,Nt2_CFU,Nt3_CFU,N0_CFU,Nt1_nx,Nt2_nx,Nt3_nx,Nt1,Nt2,Nt3,environment,CI_range_coculture_strain,CI_range_genotype,fluctuation_volume_t0,culture_volume_final,coculture,D_gen_nx,D_gen_all,D_genotype,D_coculture_strain,D_total,generations,generations_coculture_strain,incubation_mins,m_coculture_strain,m_genotype,m_lower_genotype,m_upper_genotype,mut_fitness_genotype,FlanWarnings,m_lower_coculture_strain,m_upper_coculture_strain,mutation_rate_coculture_strain,mutation_rate_gen_all,mutation_rate_gen_allL,mutation_rate_gen_allU,mutation_rate_gen_nx,mutation_rate_gen_nxL,mutation_rate_gen_nxU,mutation_rate_genotype,mutation_rate_genotype_lower,mutation_rate_genotype_upper,Mutations_per_generation,N_cultures,Nt_gen_all,Nt_gen_nx,Nt_genotype,Nt_coculture_strain,Nt_CV,Nt_dilution_nx,Nt_dilution,Nt_N0_ratio,Nt_SD,Nt_total,sd_m_coculture_strain,sd_m_genotype,Sel_CFU1,Sel_CFU10,Sel_CFU11,Sel_CFU12,Sel_CFU13,Sel_CFU14,Sel_CFU15,Sel_CFU16,Sel_CFU17,Sel_CFU18,Sel_CFU2,Sel_CFU3,Sel_CFU4,Sel_CFU5,Sel_CFU6,Sel_CFU7,Sel_CFU8,Sel_CFU9,Treatment,Weight0,Weight24,Abs_670_res,Abs_670_res1,Abs_670_res2,Abs_670_res3,Abs_670_res4,Layout,MutationFrequency,Oxygen,Notes,w_relative,Experimentor,N0_rep1,N0_rep2,N0_rep3,D_perc_gen,N0_mean_of_3,T_format
RG3_2100MG16551_noneControl173333333.333333,RG3,30/11/2020,RG3_2,Control,MG1655,rif,MG16551,none,MG16551_none,MG16551_none,DM,NA,y,NA,100,10,NA,5400,NA,NA,NA,NA,NA,53,78,77,54,NA,NA,NA,120000000,176393750,174132291.7,100,NA,26.07332899,1000,904.5833333,n,NA,173333333.3,173000000,0,173333333.3,14.82555551,NA,1440,NA,3.842881889,1.798805322,5.886958456,3.69456301,NA,NA,NA,NA,24.50904369,11.4723792,37.54570818,NA,NA,NA,24.50904369,11.4723792,37.54570818,0.259206604,16,156794444.4,NA,157000000,0,0.166682075,NA,100000,29036.00823,26100000,157000000,NA,0.467996994,9,5,2,4,2,5,3,4,3,5,3,8,6,17,6,3,NA,NA,MG16551_none+Controly,221.77,212.61,NA,NA,NA,NA,NA,RG3B,33.88194026,+,NA,NA,RG,NA,NA,NA,100,NA,MG1655 Glc
RG3_2500MG16551_noneControl415833333.333333,RG3,30/11/2020,RG3_2,Control,MG1655,rif,MG16551,none,MG16551_none,MG16551_none,DM,NA,y,NA,500,10,NA,4900,NA,NA,NA,NA,NA,170,174,155,49,NA,NA,NA,384000000,393493750,350526041.7,500,NA,11.40040564,1000,904.5833333,n,NA,415833333.3,416000000,0,415833333.3,16.22818946,NA,1440,NA,4.640974144,2.496809206,6.785139083,1.493945142,NA,NA,NA,NA,12.33790062,6.637697793,18.03810344,NA,NA,NA,12.33790062,6.637697793,18.03810344,0.285982251,16,376155902.8,NA,376000000,0,0.049169716,NA,100000,76766.51077,18500000,376000000,NA,0.496658622,7,7,2,4,17,2,7,26,10,52,7,6,11,6,25,13,NA,NA,MG16551_none+Controly,221.77,212.61,NA,NA,NA,NA,NA,RG3B,33.56321118,+,NA,NA,RG,NA,NA,NA,100,NA,MG1655 Glc
RG4_1100MG16551_noneControl117500000,RG4,07/12/2020,RG4_1,Control,MG1655,rif,MG16551,none,MG16551_none,MG16551_none,DM,NA,y,NA,100,10,NA,3500,NA,NA,NA,NA,NA,56,47,38,35,NA,NA,NA,125000000,104819791.7,84747916.67,100,NA,33.02487293,1000,892.0833333,n,NA,117500000,118000000,0,117500000,14.8701967,NA,1440,NA,3.438033773,1.707203623,5.168863923,10,Initialization of 'fitness' with 'GF'-method has failed.,NA,NA,NA,32.79947153,16.28703507,49.311908,NA,NA,NA,32.79947153,16.28703507,49.311908,0.231202979,16,104819791.7,NA,105000000,0,0.156350409,NA,100000,29948.5119,16400000,105000000,NA,0.451870293,4,3,6,2,2,3,4,1,4,2,1,5,3,7,5,9,NA,NA,MG16551_none+Controly,221.96,211.6,NA,NA,NA,NA,NA,RG4A,36.37194789,+,NA,NA,RG,NA,NA,NA,100,NA,MG1655 Glc
RG4_1500MG16551_noneControl478333333.333333,RG4,07/12/2020,RG4_1,Control,MG1655,rif,MG16551,none,MG16551_none,MG16551_none,DM,NA,y,NA,500,10,NA,3300,NA,NA,NA,NA,NA,207,188,179,33,NA,NA,NA,462000000,419279166.7,399207291.7,500,NA,9.784772307,1000,892.0833333,n,NA,478333333.3,478000000,0,478333333.3,16.98044117,NA,1440,NA,5.842529709,3.754883985,7.930175433,1.744173287,NA,NA,NA,NA,13.69193591,8.799549753,18.58432206,NA,NA,NA,13.69193591,8.799549753,18.58432206,0.344074082,17,426713194.4,NA,427000000,0,0.061000493,NA,100000,129307.0286,26000000,427000000,NA,0.518072954,17,10,13,13,11,6,7,6,13,2,6,15,3,15,10,40,34,NA,MG16551_none+Controly,221.96,211.6,NA,NA,NA,NA,NA,RG4A,30.46542776,+,NA,NA,RG,NA,NA,NA,100,NA,MG1655 Glc
RG5_1500ancestor1_noneControl290833333.333333,RG5,11/01/2021,RG5_1,Control,ancestor,rif,ancestor1,none,ancestor1_none,ancestor1_none,DM,NA,y,NA,500,10,NA,4733.333333,NA,NA,NA,NA,NA,108,124,117,47.33333333,NA,NA,NA,248000000,284877083.3,268795312.5,500,NA,14.02911023,1000,918.9583333,n,NA,290833333.3,291000000,0,290833333.3,15.78504794,NA,1440,NA,2.849017148,0.974281087,4.72375321,1.268671591,NA,NA,NA,NA,10.65994741,3.64539229,17.67450252,NA,NA,NA,10.65994741,3.64539229,17.67450252,0.180488343,16,267263715.3,NA,267000000,0,0.056294793,NA,100000,56464.1652,15000000,267000000,NA,0.425897452,5,3,60,2,3,6,7,11,84,7,1,3,10,4,3,2,NA,NA,ancestor1_none+Controly,221.68,213.9,NA,NA,NA,NA,NA,RG5A,49.34265015,+,NA,NA,RG,62,43,37,100,47.33333333,BW25113 Glc
RG5_1100MG16551_noneControl145833333.333333,RG5,11/01/2021,RG5_1,Control,MG1655,rif,MG16551,none,MG16551_none,MG16551_none,DM,NA,y,NA,100,10,NA,6066.666667,NA,NA,NA,NA,NA,61,50,64,60.66666667,NA,NA,NA,140000000,114869791.7,147033333.3,100,NA,25.6007591,1000,918.9583333,n,NA,145833333.3,146000000,0,145833333.3,14.4311283,NA,1440,NA,3.868543655,2.153103901,5.583983409,1.345101648,NA,NA,NA,NA,28.8665498,16.06617025,41.66692935,NA,NA,NA,28.8665498,16.06617025,41.66692935,0.268069383,16,134014756.9,NA,134000000,0,0.103174115,NA,100000,22090.34455,13800000,134000000,NA,0.468979177,7,2,10,16,8,1,10,8,4,7,17,4,59,2,36,8,NA,NA,MG16551_none+Controly,221.68,213.9,NA,NA,NA,NA,NA,RG5A,92.80694368,+,NA,NA,RG,58,52,72,100,60.66666667,MG1655 Glc
RG5_2500ancestor1_noneControl379166666.666667,RG5,11/01/2021,RG5_2,Control,ancestor,rif,ancestor1,none,ancestor1_none,ancestor1_none,DM,NA,y,NA,500,10,NA,6600,NA,NA,NA,NA,NA,131,133,191,66,NA,NA,NA,318000000,322421093.8,463025781.3,500,NA,14.6303935,1000,969.6875,n,NA,379166666.7,379000000,0,379166666.7,15.76559838,NA,1440,NA,7.209273423,4.519671792,9.898875053,2.203664735,NA,NA,NA,NA,19.60783074,12.29263399,26.92302749,NA,NA,NA,19.60783074,12.29263399,26.92302749,0.457278769,17,367673177.1,NA,368000000,0,0.183460543,NA,100000,55708.05713,67500000,368000000,NA,0.553538012,17,12,8,24,10,5,10,35,13,19,4,6,15,8,6,15,14,NA,ancestor1_none+Controly,222.11,219.2,NA,NA,NA,NA,NA,RG5B,35.35748815,+,NA,NA,RG,62,80,56,100,66,BW25113 Glc
RG5_2500ancestor1_noneControl357500000,RG5,11/01/2021,RG5_2,Control,ancestor,rif,ancestor1,none,ancestor1_none,ancestor1_none,DM,NA,y,NA,500,10,NA,6600,NA,NA,NA,NA,NA,124,165,140,66,NA,NA,NA,301000000,399996093.8,339390625,500,NA,18.0249258,1000,969.6875,n,NA,357500000,358000000,0,357500000,15.68070948,NA,1440,NA,6.311781465,3.187491505,9.436071426,10,Initialization of 'fitness' with 'GF'-method has failed.,NA,NA,NA,18.20723973,9.194776826,27.21970262,NA,NA,NA,18.20723973,9.194776826,27.21970262,0.40251887,16,346663281.3,NA,347000000,0,0.117986487,NA,100000,52524.73958,40900000,347000000,NA,0.547172123,7,4,5,6,3,8,7,12,7,13,7,7,3,7,5,11,NA,NA,ancestor1_none+Controly,222.11,219.2,NA,NA,NA,NA,NA,RG5B,20.19250489,+,NA,NA,RG,62,80,56,100,66,BW25113 Glc
Treatment 03,RG5,11/01/2021,RG5_2,Treatment 03,ancestor,rif,Treatment 03,Treatment 03,Treatment 03,Treatment 03,DM,NA,y,NA,100,10,NA,6700,NA,NA,NA,NA,NA,29,17,26,67,NA,NA,NA,70300000,41211718.75,63029687.5,100,1.4974883,40.03662319,1000,969.6875,y,NA,60000000,60000000,49166666.67,109166666.7,13.08410558,13.77544997,1440,1.156711118,3.155699976,1.991009585,4.320390368,2.319785089,NA,0.407966968,1.905455268,24.2617625,54.23912302,34.22081143,74.25743462,NA,NA,NA,54.23912302,34.22081143,74.25743462,0.241185762,15,58181250,NA,58200000,47700000,0.212459146,NA,100000,8683.768657,12400000,106000000,0.331135929,0.454261161,0,2,6,9,4,8,5,0,15,4,5,5,11,2,4,NA,NA,NA,Treatment 03,222.11,219.2,NA,NA,NA,NA,NA,RG5B,91.66756186,+,NA,0.949813298,RG,63,75,63,54.96183206,67,Treatment 03
Treatment 14,RG5,11/01/2021,RG5_2,Treatment 14,MG1655,rif,Treatment 14,Treatment 14,Treatment 14,Treatment 14,DM,NA,y,NA,100,10,NA,6800,NA,NA,NA,NA,NA,21,19,19,68,NA,NA,NA,50900000,46060156.25,46060156.25,100,2.329380783,31.40948929,1000,969.6875,y,NA,49166666.67,49200000,60000000,109166666.7,12.77544997,14.08410558,1440,3.155699976,1.156711118,0.407966968,1.905455268,1.241869377,NA,1.991009585,4.320390368,54.23912302,24.2617625,8.557017857,39.96650715,NA,NA,NA,24.2617625,8.557017857,39.96650715,0.090541712,15,47676302.08,NA,47700000,58200000,0.047939443,NA,100000,7011.220895,2290000,106000000,0.454261161,0.331135929,0,0,1,4,1,0,2,6,1,2,0,65,4,1,3,NA,NA,NA,Treatment 14,222.11,219.2,NA,NA,NA,NA,NA,RG5B,125.8486866,+,NA,0.907082804,RG,64,69,71,45.03816794,68,Treatment 14
